GroupID,Category,Term,Description,LogP,Log(q-value),InTerm_InList,Genes,Symbols
1_Summary,WikiPathways,WP4963,p53 transcriptional gene network,-12.77044588,-8.673,8/72,"355,581,1026,3383,27113,55367,64065,83667,8795,4313,80781,23612,4000,5916,5118,57822,125965,51043","FAS,BAX,CDKN1A,ICAM1,BBC3,PIDD1,PERP,SESN2,TNFRSF10B,MMP2,COL18A1,PHLDA3,LMNA,RARG,PCOLCE,GRHL3,COX6B2,ZBTB7B"
1_Member,WikiPathways,WP4963,p53 transcriptional gene network,-12.77044588,-8.673,8/72,"355,581,1026,3383,27113,55367,64065,83667","FAS,BAX,CDKN1A,ICAM1,BBC3,PIDD1,PERP,SESN2"
1_Member,KEGG Pathway,hsa04115,p53 signaling pathway,-12.72052305,-8.673,8/73,"355,581,1026,8795,27113,55367,64065,83667","FAS,BAX,CDKN1A,TNFRSF10B,BBC3,PIDD1,PERP,SESN2"
1_Member,Canonical Pathways,M145,PID P53 DOWNSTREAM PATHWAY,-12.22471377,-8.354,9/137,"355,581,1026,4313,8795,27113,55367,64065,80781","FAS,BAX,CDKN1A,MMP2,TNFRSF10B,BBC3,PIDD1,PERP,COL18A1"
1_Member,Reactome Gene Sets,R-HSA-5633008,TP53 Regulates Transcription of Cell Death Genes,-10.22073565,-6.475,6/44,"355,581,8795,27113,55367,64065","FAS,BAX,TNFRSF10B,BBC3,PIDD1,PERP"
1_Member,WikiPathways,WP707,DNA damage response,-9.003084121,-5.354,6/69,"355,581,1026,8795,27113,55367","FAS,BAX,CDKN1A,TNFRSF10B,BBC3,PIDD1"
1_Member,GO Biological Processes,GO:0072331,signal transduction by p53 class mediator,-8.387431825,-4.818,6/87,"581,1026,23612,55367,64065,83667","BAX,CDKN1A,PHLDA3,PIDD1,PERP,SESN2"
1_Member,WikiPathways,WP1530,miRNA regulation of DNA damage response,-8.211574329,-4.709,6/93,"355,581,1026,8795,27113,55367","FAS,BAX,CDKN1A,TNFRSF10B,BBC3,PIDD1"
1_Member,GO Biological Processes,GO:0097190,apoptotic signaling pathway,-8.145081864,-4.700,8/270,"355,581,1026,8795,23612,27113,55367,64065","FAS,BAX,CDKN1A,TNFRSF10B,PHLDA3,BBC3,PIDD1,PERP"
1_Member,Canonical Pathways,M256,PID TAP63 PATHWAY,-7.707666763,-4.314,5/54,"355,581,1026,27113,64065","FAS,BAX,CDKN1A,BBC3,PERP"
1_Member,KEGG Pathway,hsa04210,Apoptosis,-7.219557399,-3.871,6/136,"355,581,4000,8795,27113,55367","FAS,BAX,LMNA,TNFRSF10B,BBC3,PIDD1"
1_Member,Reactome Gene Sets,R-HSA-3700989,Transcriptional Regulation by TP53,-7.159628088,-3.853,8/362,"355,581,1026,8795,27113,55367,64065,83667","FAS,BAX,CDKN1A,TNFRSF10B,BBC3,PIDD1,PERP,SESN2"
1_Member,GO Biological Processes,GO:0097193,intrinsic apoptotic signaling pathway,-6.983802261,-3.716,6/149,"581,1026,8795,23612,27113,64065","BAX,CDKN1A,TNFRSF10B,PHLDA3,BBC3,PERP"
1_Member,GO Biological Processes,GO:0043068,positive regulation of programmed cell death,-6.950184988,-3.716,9/543,"355,581,1026,4313,5916,8795,23612,27113,55367","FAS,BAX,CDKN1A,MMP2,RARG,TNFRSF10B,PHLDA3,BBC3,PIDD1"
1_Member,WikiPathways,WP3982,miRNA regulation of p53 pathway in prostate cancer,-6.675144282,-3.473,4/34,"581,8795,27113,64065","BAX,TNFRSF10B,BBC3,PERP"
1_Member,WikiPathways,WP1772,Apoptosis modulation and signaling,-6.558392786,-3.437,5/91,"355,581,8795,27113,55367","FAS,BAX,TNFRSF10B,BBC3,PIDD1"
1_Member,GO Biological Processes,GO:0010942,positive regulation of cell death,-6.55463074,-3.437,9/605,"355,581,1026,4313,5916,8795,23612,27113,55367","FAS,BAX,CDKN1A,MMP2,RARG,TNFRSF10B,PHLDA3,BBC3,PIDD1"
1_Member,GO Biological Processes,GO:0010952,positive regulation of peptidase activity,-6.33433667,-3.242,6/192,"355,581,5118,27113,55367,64065","FAS,BAX,PCOLCE,BBC3,PIDD1,PERP"
1_Member,GO Biological Processes,GO:0072332,intrinsic apoptotic signaling pathway by p53 class mediator,-5.951885747,-2.905,4/51,"581,1026,23612,64065","BAX,CDKN1A,PHLDA3,PERP"
1_Member,WikiPathways,WP3611,Photodynamic therapy-induced AP-1 survival signaling,-5.951885747,-2.905,4/51,"355,581,1026,4313","FAS,BAX,CDKN1A,MMP2"
1_Member,GO Biological Processes,GO:0043065,positive regulation of apoptotic process,-5.912649472,-2.887,8/529,"355,581,4313,5916,8795,23612,27113,55367","FAS,BAX,MMP2,RARG,TNFRSF10B,PHLDA3,BBC3,PIDD1"
1_Member,GO Biological Processes,GO:2001056,positive regulation of cysteine-type endopeptidase activity,-5.584639157,-2.579,5/143,"355,581,27113,55367,64065","FAS,BAX,BBC3,PIDD1,PERP"
1_Member,WikiPathways,WP1742,TP53 network,-5.431450377,-2.445,3/20,"581,1026,27113","BAX,CDKN1A,BBC3"
1_Member,KEGG Pathway,hsa01524,Platinum drug resistance,-5.323477875,-2.356,4/73,"355,581,1026,27113","FAS,BAX,CDKN1A,BBC3"
1_Member,Canonical Pathways,M19,PID P73PATHWAY,-5.186360904,-2.236,4/79,"355,581,1026,27113","FAS,BAX,CDKN1A,BBC3"
1_Member,GO Biological Processes,GO:0010950,positive regulation of endopeptidase activity,-5.168289074,-2.235,5/174,"355,581,27113,55367,64065","FAS,BAX,BBC3,PIDD1,PERP"
1_Member,Reactome Gene Sets,R-HSA-109581,Apoptosis,-5.09677433,-2.180,5/180,"355,581,4000,8795,27113","FAS,BAX,LMNA,TNFRSF10B,BBC3"
1_Member,WikiPathways,WP254,Apoptosis,-5.039491898,-2.139,4/86,"355,581,8795,27113","FAS,BAX,TNFRSF10B,BBC3"
1_Member,GO Biological Processes,GO:0097191,extrinsic apoptotic signaling pathway,-4.961063276,-2.075,4/90,"355,581,8795,55367","FAS,BAX,TNFRSF10B,PIDD1"
1_Member,Reactome Gene Sets,R-HSA-5357801,Programmed Cell Death,-4.773277224,-1.902,5/210,"355,581,4000,8795,27113","FAS,BAX,LMNA,TNFRSF10B,BBC3"
