GroupID,Category,Term,Description,LogP,Log(q-value),InTerm_InList,Genes,Symbols
1_Summary,KEGG Pathway,hsa04115,p53 signaling pathway,-5.906834764,-1.559,5/73,"595,900,1026,10912,83667,9140,23710,94241,586,5976,119504,2965,4170,10454,23612,6046,585,4131,5119,28511,3840","CCND1,CCNG1,CDKN1A,GADD45G,SESN2,ATG12,GABARAPL1,TP53INP1,BCAT1,UPF1,ANAPC16,GTF2H1,MCL1,TAB1,PHLDA3,BRD2,BBS4,MAP1B,CHMP1A,NKIRAS2,KPNA4"
1_Member,KEGG Pathway,hsa04115,p53 signaling pathway,-5.906834764,-1.559,5/73,"595,900,1026,10912,83667","CCND1,CCNG1,CDKN1A,GADD45G,SESN2"
1_Member,KEGG Pathway,hsa04068,FoxO signaling pathway,-4.659838347,-0.613,5/131,"595,1026,9140,10912,23710","CCND1,CDKN1A,ATG12,GADD45G,GABARAPL1"
1_Member,WikiPathways,WP4963,p53 transcriptional gene network,-4.45297358,-0.582,4/72,"900,1026,83667,94241","CCNG1,CDKN1A,SESN2,TP53INP1"
1_Member,GO Biological Processes,GO:0044770,cell cycle phase transition,-4.107700173,-0.505,5/171,"586,595,900,1026,5976","BCAT1,CCND1,CCNG1,CDKN1A,UPF1"
1_Member,WikiPathways,WP1530,miRNA regulation of DNA damage response,-4.017538219,-0.505,4/93,"595,900,1026,10912","CCND1,CCNG1,CDKN1A,GADD45G"
1_Member,Reactome Gene Sets,R-HSA-9687139,Aberrant regulation of mitotic cell cycle due to RB1 defects,-3.970153355,-0.505,3/36,"595,1026,119504","CCND1,CDKN1A,ANAPC16"
1_Member,KEGG Pathway,hsa05216,Thyroid cancer,-3.93422697,-0.505,3/37,"595,1026,10912","CCND1,CDKN1A,GADD45G"
1_Member,Reactome Gene Sets,R-HSA-9675126,Diseases of mitotic cell cycle,-3.899307761,-0.505,3/38,"595,1026,119504","CCND1,CDKN1A,ANAPC16"
1_Member,GO Biological Processes,GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,-3.676128768,-0.404,4/114,"595,900,1026,2965","CCND1,CCNG1,CDKN1A,GTF2H1"
1_Member,GO Biological Processes,GO:1904029,regulation of cyclin-dependent protein kinase activity,-3.632913368,-0.404,4/117,"595,900,1026,2965","CCND1,CCNG1,CDKN1A,GTF2H1"
1_Member,WikiPathways,WP3611,Photodynamic therapy-induced AP-1 survival signaling,-3.517204599,-0.404,3/51,"595,1026,4170","CCND1,CDKN1A,MCL1"
1_Member,KEGG Pathway,hsa04110,Cell cycle,-3.510070449,-0.404,4/126,"595,1026,10912,119504","CCND1,CDKN1A,GADD45G,ANAPC16"
1_Member,GO Biological Processes,GO:0042770,signal transduction in response to DNA damage,-3.420882076,-0.395,4/133,"595,900,1026,83667","CCND1,CCNG1,CDKN1A,SESN2"
1_Member,Canonical Pathways,M145,PID P53 DOWNSTREAM PATHWAY,-3.372162875,-0.367,4/137,"900,1026,4170,94241","CCNG1,CDKN1A,MCL1,TP53INP1"
1_Member,KEGG Pathway,hsa05213,Endometrial cancer,-3.352014962,-0.366,3/58,"595,1026,10912","CCND1,CDKN1A,GADD45G"
1_Member,GO Biological Processes,GO:0071900,regulation of protein serine/threonine kinase activity,-3.32233957,-0.354,6/388,"595,900,1026,2965,10454,83667","CCND1,CCNG1,CDKN1A,GTF2H1,TAB1,SESN2"
1_Member,GO Biological Processes,GO:0006974,cellular response to DNA damage stimulus,-3.284070693,-0.351,8/725,"595,900,1026,2965,4170,5976,23612,83667","CCND1,CCNG1,CDKN1A,GTF2H1,MCL1,UPF1,PHLDA3,SESN2"
1_Member,WikiPathways,WP4155,Endometrial cancer,-3.246416356,-0.330,3/63,"595,1026,10912","CCND1,CDKN1A,GADD45G"
1_Member,Canonical Pathways,M279,PID RB 1PATHWAY,-3.206633026,-0.313,3/65,"595,1026,6046","CCND1,CDKN1A,BRD2"
1_Member,GO Biological Processes,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage,-3.149321369,-0.313,3/68,"1026,4170,23612","CDKN1A,MCL1,PHLDA3"
1_Member,WikiPathways,WP4685,Melanoma,-3.149321369,-0.313,3/68,"595,1026,10912","CCND1,CDKN1A,GADD45G"
1_Member,WikiPathways,WP707,DNA damage response,-3.13081009,-0.313,3/69,"595,1026,10912","CCND1,CDKN1A,GADD45G"
1_Member,GO Biological Processes,GO:0044772,mitotic cell cycle phase transition,-3.098851189,-0.313,4/162,"586,595,900,1026","BCAT1,CCND1,CCNG1,CDKN1A"
1_Member,WikiPathways,WP4255,Non-small cell lung cancer,-3.07693516,-0.313,3/72,"595,1026,10912","CCND1,CDKN1A,GADD45G"
1_Member,KEGG Pathway,hsa05218,Melanoma,-3.07693516,-0.313,3/72,"595,1026,10912","CCND1,CDKN1A,GADD45G"
1_Member,KEGG Pathway,hsa05223,Non-small cell lung cancer,-3.07693516,-0.313,3/72,"595,1026,10912","CCND1,CDKN1A,GADD45G"
1_Member,WikiPathways,WP4216,Chromosomal and microsatellite instability in colorectal cancer,-3.042323998,-0.313,3/74,"595,1026,10912","CCND1,CDKN1A,GADD45G"
1_Member,KEGG Pathway,hsa05214,Glioma,-3.025388625,-0.313,3/75,"595,1026,10912","CCND1,CDKN1A,GADD45G"
1_Member,WikiPathways,WP4674,Head and neck squamous cell carcinoma,-3.008691206,-0.313,3/76,"595,1026,83667","CCND1,CDKN1A,SESN2"
1_Member,KEGG Pathway,hsa05212,Pancreatic cancer,-3.008691206,-0.313,3/76,"595,1026,10912","CCND1,CDKN1A,GADD45G"
1_Member,KEGG Pathway,hsa05220,Chronic myeloid leukemia,-3.008691206,-0.313,3/76,"595,1026,10912","CCND1,CDKN1A,GADD45G"
1_Member,GO Biological Processes,GO:0031667,response to nutrient levels,-3.007573723,-0.313,6/446,"585,595,1026,4131,23710,83667","BBS4,CCND1,CDKN1A,MAP1B,GABARAPL1,SESN2"
1_Member,GO Biological Processes,GO:0044773,mitotic DNA damage checkpoint signaling,-2.959964817,-0.284,3/79,"595,900,1026","CCND1,CCNG1,CDKN1A"
1_Member,GO Biological Processes,GO:0000082,G1/S transition of mitotic cell cycle,-2.913167104,-0.264,3/82,"586,595,1026","BCAT1,CCND1,CDKN1A"
1_Member,GO Biological Processes,GO:0044774,mitotic DNA integrity checkpoint signaling,-2.897971745,-0.259,3/83,"595,900,1026","CCND1,CCNG1,CDKN1A"
1_Member,GO Biological Processes,GO:0044843,cell cycle G1/S phase transition,-2.882970143,-0.259,3/84,"586,595,1026","BCAT1,CCND1,CDKN1A"
1_Member,Canonical Pathways,M195,PID CMYB PATHWAY,-2.882970143,-0.259,3/84,"595,1026,10454","CCND1,CDKN1A,TAB1"
1_Member,KEGG Pathway,hsa05210,Colorectal cancer,-2.853529799,-0.242,3/86,"595,1026,10912","CCND1,CDKN1A,GADD45G"
1_Member,GO Biological Processes,GO:0009991,response to extracellular stimulus,-2.849232789,-0.242,6/479,"585,595,1026,4131,23710,83667","BBS4,CCND1,CDKN1A,MAP1B,GABARAPL1,SESN2"
1_Member,GO Biological Processes,GO:0072331,signal transduction by p53 class mediator,-2.839082254,-0.239,3/87,"1026,23612,83667","CDKN1A,PHLDA3,SESN2"
1_Member,WikiPathways,WP4263,Pancreatic adenocarcinoma pathway,-2.810711551,-0.219,3/89,"595,1026,10912","CCND1,CDKN1A,GADD45G"
1_Member,KEGG Pathway,hsa05222,Small cell lung cancer,-2.769408042,-0.207,3/92,"595,1026,10912","CCND1,CDKN1A,GADD45G"
1_Member,KEGG Pathway,hsa05169,Epstein-Barr virus infection,-2.745569806,-0.190,4/202,"595,1026,10454,10912","CCND1,CDKN1A,TAB1,GADD45G"
1_Member,Reactome Gene Sets,R-HSA-8878159,Transcriptional regulation by RUNX3,-2.71652432,-0.168,3/96,"595,1026,6046","CCND1,CDKN1A,BRD2"
