gid,chr,str,glen,name,type,TPM_upf2_cortex_ko_1,TPM_upf2_cortex_ko_2,TPM_upf2_cortex_ctr_1,TPM_upf2_cortex_ctr_2
ENSMUSG00000079800.2,GL456210.1,-,1271,AC125149.3,protein_coding,0,0,0,0
ENSMUSG00000094054.1,GL456211.1,+,891,AC133103.2,processed_pseudogene,0,0,0,0
ENSMUSG00000079190.3,GL456211.1,+,1473,AC133103.1,protein_coding,0,0,0,0
ENSMUSG00000079808.3,GL456212.1,-,1910,AC168977.1,protein_coding,0,0,0,0
ENSMUSG00000063897.3,GL456216.1,+,2173,CAAA01118383.1,protein_coding,32.14099,35.449173,29.230869,21.84002
ENSMUSG00000096776.1,GL456219.1,-,903,Vmn1r186,protein_coding,0,0,0,0
ENSMUSG00000096244.1,GL456219.1,-,903,AC102264.1,protein_coding,0,0,0,0
ENSMUSG00000079222.2,GL456221.1,-,1205,AC132444.1,protein_coding,0,0,0,0
ENSMUSG00000062783.2,GL456221.1,-,2719,Csprs,protein_coding,0,0,0,0
ENSMUSG00000096808.1,GL456221.1,+,1500,AC132444.6,protein_coding,0,0,0,0
ENSMUSG00000051412.6,GL456233.1,-,2534,Vamp7,protein_coding,22.374854,29.791015,29.795524,61.063899
ENSMUSG00000061654.3,GL456233.1,-,4349,Spry3,protein_coding,2.23298,2.27135,2.035024,2.323569
ENSMUSG00000079834.2,GL456233.1,+,2251,Tmlhe,protein_coding,3.050433,3.100003,4.314463,7.615617
ENSMUSG00000094576.1,GL456350.1,-,1422,AC087559.3,protein_coding,0,0,0,0
ENSMUSG00000079764.1,GL456350.1,-,1386,AC087559.1,pseudogene,0,0,0,0
ENSMUSG00000079774.2,GL456350.1,-,4130,Fam205a2,protein_coding,0,0,0,0
ENSMUSG00000096271.1,GL456350.1,-,867,Ccl21b,protein_coding,0,0,0,0
ENSMUSG00000094741.1,GL456354.1,+,1224,AC140325.2,protein_coding,0,0,0,0
ENSMUSG00000094337.7,GL456354.1,-,1446,Gm3286,protein_coding,0,0,0,0
ENSMUSG00000095570.1,GL456354.1,-,1443,AC140325.3,protein_coding,0,0,0,0
ENSMUSG00000096728.1,GL456354.1,+,1446,AC140325.4,protein_coding,0,0,0,0
ENSMUSG00000096730.7,JH584292.1,+,3077,Vmn2r122,protein_coding,0,0,0,0
ENSMUSG00000095456.1,JH584293.1,+,1299,Il11ra2,protein_coding,0,0.069765,0,0.138915
ENSMUSG00000095247.7,JH584293.1,-,722,Ccl27,protein_coding,0.271726,0.251038,0.108478,0
ENSMUSG00000095755.1,JH584293.1,-,909,CR974586.3,protein_coding,0,0,0,0
ENSMUSG00000096646.1,JH584293.1,-,1395,CR974586.5,protein_coding,0,0,0,0
ENSMUSG00000095552.1,JH584293.1,+,1710,4933409K07Rik,protein_coding,0,0,0,0
ENSMUSG00000095207.1,JH584293.1,-,2214,CR974586.1,protein_coding,0,0,0,0
ENSMUSG00000095623.1,JH584294.1,-,1299,Il11ra2,protein_coding,0,0,0,0
ENSMUSG00000094350.1,JH584294.1,+,552,Gm10931,protein_coding,0,0,0,0
ENSMUSG00000096237.1,JH584294.1,-,3801,CT868723.1,protein_coding,0,0,0,0
ENSMUSG00000095666.1,JH584296.1,-,1446,AC164084.2,protein_coding,0,0,0,0
ENSMUSG00000096680.1,JH584296.1,-,1443,AC164084.3,protein_coding,0,0,0,0
ENSMUSG00000095505.1,JH584296.1,-,837,AC164084.1,protein_coding,0,0,0,0
ENSMUSG00000094303.1,JH584297.1,-,1218,AC165294.1,protein_coding,0,0,0,0
ENSMUSG00000096236.1,JH584297.1,+,1221,AC165294.2,protein_coding,0,0,0,0
ENSMUSG00000096756.1,JH584297.1,-,1446,AC165294.3,protein_coding,0,0,0,0
ENSMUSG00000094722.1,JH584298.1,+,1446,AC125178.1,protein_coding,0,0,0,0
ENSMUSG00000095728.1,JH584298.1,-,1218,AC125178.3,protein_coding,0,0,0,0
ENSMUSG00000095076.1,JH584298.1,+,1215,AC125178.2,protein_coding,0,0,0,0
ENSMUSG00000094836.1,JH584299.1,+,1080,AC123873.3,protein_coding,0,0,0,0
ENSMUSG00000094383.1,JH584299.1,+,1482,AC123873.1,protein_coding,0,0,0,0
ENSMUSG00000094474.1,JH584299.1,+,1446,AC123873.2,protein_coding,0,0,0,0
ENSMUSG00000094791.1,JH584299.1,+,837,AC126035.1,protein_coding,0,0,0,0
ENSMUSG00000096550.1,JH584299.1,+,1446,Gm16367,protein_coding,0,0,0,0
ENSMUSG00000094172.1,JH584299.1,+,1446,AC163611.1,protein_coding,0,0,0,0
ENSMUSG00000094887.1,JH584299.1,+,2515,AC163611.2,protein_coding,0,0,0,0
ENSMUSG00000091585.2,JH584299.1,+,1500,AC140365.1,protein_coding,0,0,0,0
ENSMUSG00000095763.1,JH584299.1,+,1446,AC124606.2,protein_coding,0,0,0,0
ENSMUSG00000095523.1,JH584299.1,+,1446,AC124606.1,protein_coding,0,0,0,0
ENSMUSG00000095475.1,JH584299.1,-,1446,AC133095.2,protein_coding,0,0,0,0
ENSMUSG00000094855.1,JH584299.1,+,1446,AC133095.1,protein_coding,0,0,0,0
ENSMUSG00000095019.1,JH584303.1,+,1083,AC234645.1,protein_coding,0,0,0,0
ENSMUSG00000095041.7,JH584304.1,-,4238,AC149090.1,protein_coding,138.413745,171.519886,124.966848,117.66723
ENSMUSG00000102693.1,chr1,+,1070,4933401J01Rik,TEC,0,0,0,0
ENSMUSG00000051951.5,chr1,-,6094,Xkr4,"lncRNA,protein_coding",1.706249,2.423997,1.04103,3.079555
ENSMUSG00000103377.1,chr1,-,2819,Gm37180,TEC,0,0.032148,0,0
ENSMUSG00000104017.1,chr1,-,2233,Gm37363,TEC,0,0,0,0
ENSMUSG00000103025.1,chr1,-,2309,Gm37686,TEC,0,0,0,0
ENSMUSG00000103201.1,chr1,-,2057,Gm37329,TEC,0,0,0,0
